cgpa,package
5.0,1.57
5.01,1.49
5.02,1.61
5.03,1.75
5.04,1.5
5.05,1.5
5.06,1.78
5.07,1.67
5.08,1.49
5.09,1.65
5.1,1.51
5.11,1.52
5.12,1.63
5.13,1.32
5.14,1.35
5.15,1.54
5.16,1.48
5.17,1.68
5.18,1.51
5.19,1.44
5.2,1.88
5.21,1.63
5.22,1.69
5.23,1.47
5.24,1.61
5.25,1.72
5.26,1.54
5.27,1.77
5.28,1.63
5.29,1.69
5.3,1.65
5.31,2.03
5.32,1.75
5.33,1.61
5.34,1.9
5.35,1.6
5.36,1.82
5.37,1.5
5.38,1.6
5.39,1.84
5.4,1.93
5.41,1.85
5.42,1.82
5.43,1.8
5.44,1.63
5.45,1.75
5.46,1.8
5.47,2.03
5.48,1.94
5.49,1.63
5.5,1.95
5.51,1.85
5.52,1.81
5.53,2.02
5.54,2.09
5.55,2.08
5.56,1.82
5.57,1.91
5.58,2.01
5.59,2.12
5.6,1.91
5.61,1.96
5.62,1.83
5.63,1.82
5.64,2.13
5.65,2.22
5.66,2.02
5.67,2.19
5.68,2.1
5.69,1.96
5.7,2.11
5.71,2.3
5.72,2.07
5.73,2.32
5.74,1.7
5.75,2.22
5.76,2.12
5.77,2.07
5.78,2.14
5.79,1.83
5.8,2.11
5.81,2.2
5.82,2.38
5.83,2.09
5.84,2.05
5.85,2.1
5.86,2.33
5.87,2.25
5.88,2.12
5.89,2.29
5.9,2.23
5.91,2.37
5.92,2.13
5.93,2.19
5.94,2.19
5.95,2.04
5.96,2.31
5.97,2.32
5.98,2.28
5.99,2.26
6.0,2.09
6.01,2.24
6.02,2.26
6.03,2.2
6.04,2.31
6.05,2.4
6.06,2.63
6.07,2.38
6.08,2.4
6.09,2.36
6.1,2.09
6.11,2.38
6.12,2.41
6.13,2.77
6.14,2.38
6.15,2.47
6.16,2.42
6.17,2.26
6.18,2.62
6.19,2.56
6.2,2.58
6.21,2.33
6.22,2.69
6.23,2.27
6.24,2.58
6.25,2.83
6.26,2.36
6.27,2.43
6.28,2.54
6.29,2.46
6.3,2.31
6.31,2.56
6.32,2.4
6.33,2.64
6.34,2.43
6.35,2.81
6.36,2.47
6.37,2.55
6.38,2.73
6.39,2.43
6.4,2.65
6.41,2.82
6.42,2.39
6.43,2.67
6.44,2.69
6.45,2.78
6.46,2.48
6.47,2.48
6.48,2.76
6.49,2.74
6.5,2.74
6.51,2.76
6.52,2.61
6.53,2.76
6.54,2.78
6.55,2.63
6.56,3.03
6.57,2.83
6.58,2.59
6.59,2.87
6.6,2.63
6.61,2.91
6.62,2.97
6.63,2.68
6.64,2.96
6.65,2.88
6.66,2.95
6.67,3.12
6.68,2.81
6.69,2.74
6.7,2.73
6.71,2.75
6.72,2.86
6.73,2.94
6.74,2.93
6.75,3.02
6.76,2.91
6.77,3.13
6.78,2.88
6.79,3.34
6.8,3.03
6.81,2.82
6.82,2.8
6.83,3.04
6.84,2.94
6.85,3.09
6.86,3.06
6.87,2.99
6.88,2.88
6.89,2.78
6.9,2.95
6.91,3.16
6.92,3.07
6.93,2.86
6.94,3.08
6.95,3.12
6.96,2.94
6.97,3.1
6.98,3.09
6.99,2.92
7.0,3.15
7.01,3.19
7.02,3.28
7.03,3.28
7.04,2.93
7.05,3.0
7.06,3.23
7.07,3.23
7.08,3.24
7.09,3.75
7.1,3.27
7.11,3.36
7.12,3.34
7.13,3.3
7.14,3.16
7.15,3.33
7.16,3.11
7.17,3.2
7.18,3.17
7.19,3.26
7.2,3.61
7.21,2.99
7.22,3.38
7.23,3.04
7.24,3.22
7.25,3.46
7.26,3.32
7.27,3.15
7.28,3.22
7.29,3.43
7.3,3.23
7.31,3.38
7.32,3.36
7.33,3.27
7.34,3.69
7.35,3.48
7.36,3.08
7.37,3.42
7.38,3.3
7.39,3.54
7.4,3.3
7.41,3.41
7.42,3.51
7.43,3.57
7.44,3.27
7.45,3.41
7.46,3.4
7.47,3.38
7.48,3.75
7.49,3.55
7.5,3.31
7.51,3.65
7.52,3.83
7.53,3.68
7.54,3.3
7.55,3.47
7.56,3.74
7.57,3.45
7.58,3.63
7.59,3.69
7.6,3.44
7.61,3.58
7.62,3.11
7.63,3.45
7.64,3.57
7.65,3.43
7.66,3.87
7.67,3.42
7.68,3.58
